,hanzi,pinyin,translation,ipa,valid_ipa,dolgo,custom_alphabet_5,custom_alphabet_10,custom_alphabet_15,custom_alphabet_20
965,伤心,shāng xīn,to grieve,ʂɑŋɕin,True,TVNKVN,BAEBAC,IDEBHC,OFNOLK,FGPMSA
966,稍微,shāo wēi,a little bit,ʂɑʊweɪ,True,TVVRVV,BADDAA,IDHFDH,OFBDMB,FGOQLL
967,社会,shè huì,society,ʂɤxweɪ,True,TVKRVV,BAEDAA,IDEFDH,OIEDMB,FBEQLL
968,深,shēn,close,ʂən,True,TVN,BAC,IAC,OBK,FLA
969,申请,shēn qǐng,to apply for sth,ʂəntɕʰiŋ,True,TVNTKVN,BACBBFAE,IACCBKHE,OBKGOPLN,FLARMUSP
970,甚至,shèn zhì,even,ʂənʈʂɨ,True,TVNTTV,BACBBA,IACIIH,OBKGOL,FLARFS
971,生活,shēng huó,life,ʂɤŋxwɔ,True,TVNKRV,BAEEDA,IDEEFA,OINEDI,FBPEQB
972,生命,shēng mìng,life,ʂɤŋmiŋ,True,TVNMVN,BAECAE,IDEGHE,OINKLN,FBPISP
973,省,shěng,to save,ʂɤŋ,True,TVN,BAE,IDE,OIN,FBP
974,剩,shèng,to remain,ʂɤŋ,True,TVN,BAE,IDE,OIN,FBP
975,失败,shī bài,to be defeated,ʂɨpaɪ,True,TVPVV,BACAA,IHGDH,OLCFB,FSIGL
976,失望,shī wàng,disappointed,ʂɨwɑŋ,True,TVRVN,BADAE,IHFDE,OLDFN,FSQGP
977,师傅,shī fu,master,ʂɨfu,True,TVPV,BACD,IHGF,OLCD,FSNK
978,湿润,shī rùn,moist,ʂɨʐwən,True,TVTRVN,BABDAC,IHIFAC,OLADBK,FSHQLA
979,狮子,shī zi,lion,ʂɨtsɯ,True,TVTTV,BABBA,IHCIH,OLGGB,FSRFO
980,十分,shí fēn,to divide into ten equal parts,ʂɨfən,True,TVPVN,BACAC,IHGAC,OLCBK,FSNLA
981,实际,shí jì,actual,ʂɨtɕi,True,TVTKV,BABBA,IHCBH,OLGOL,FSRMS
982,实在,shí zài,really,ʂɨtsaɪ,True,TVTTVV,BABBAA,IHCIDH,OLGGFB,FSRFGL
983,食品,shí pǐn,foodstuff,ʂɨpʰin,True,TVPVN,BACFAC,IHGKHC,OLCPLK,FSIUSA
984,使用,shǐ yòng,to use,ʂɨyʊŋ,True,TVVVN,BADDE,IHFHE,OLDBN,FSKOP
985,试,shì,to test,ʂɨ,True,TV,BA,IH,OL,FS
986,市场,shì chǎng,marketplace,ʂɨʈʂʰɑŋ,True,TVTTVN,BABBFAE,IHIIKDE,OLGOPFN,FSRFUGP
987,世纪,shì jì,century,ʂɨtɕi,True,TVTKV,BABBA,IHCBH,OLGOL,FSRMS
988,适合,shì hé,to fit,ʂɨxɤ,True,TVKV,BAEA,IHED,OLEI,FSEB
989,适应,shì yìng,to adapt,ʂɨiŋ,True,TVVN,BAAE,IHHE,OLLN,FSSP
990,收,shōu,to receive,ʂoʊ,True,TVV,BDD,IAH,OIB,FBO
991,收入,shōu rù,to take in,ʂoʊʐu,True,TVVTV,BDDBD,IAHIF,OIBAD,FBOHK
992,收拾,shōu shi,to put in order,ʂoʊʂɨ,True,TVVTV,BDDBA,IAHIH,OIBOL,FBOFS
993,首都,shǒu dū,capital (city),ʂoʊtu,True,TVVTV,BDDBD,IAHCF,OIBGD,FBORK
994,首先,shǒu xiān,first (of all),ʂoʊɕjɛn,True,TVVKRVN,BDDBAAC,IAHBHAC,OIBOLMK,FBOMCLA
995,受不了,shòu bù liǎo,unbearable,ʂoʊpuljɑʊ,True,TVVPVRRVV,BDDCDBAAD,IAHGFCHDH,OIBCDJLFB,FBOIKJCGO
996,受到,shòu dào,to receive,ʂoʊtɑʊ,True,TVVTVV,BDDBAD,IAHCDH,OIBGFB,FBORGO
997,售货员,shòu huò yuán,salesperson,ʂoʊxwɔɥœn,True,TVVKRVRVN,BDDEDADAC,IAHEFAFAC,OIBEDIDMK,FBOEQBQLA
998,输,shū,to lose,ʂu,True,TV,BD,IF,OD,FK
999,熟悉,shú xī,to be familiar with,ʂuɕi,True,TVKV,BDBA,IFBH,ODOL,FKMS
1000,数量,shù liàng,amount,ʂuljɑŋ,True,TVRRVN,BDBAAE,IFCHDE,ODJLFN,FKJCGP
1001,数字,shù zì,numeral,ʂutsɯ,True,TVTTV,BDBBA,IFCIH,ODGGB,FKRFO
1002,帅,shuài,handsome,ʂwaɪ,True,TRVV,BDAA,IFDH,ODFB,FQGL
1003,顺便,shùn biàn,conveniently,ʂwənpjɛn,True,TRVNPRVN,BDACCAAC,IFACGHAC,ODBKCLMK,FQLAICLA
1004,顺利,shùn lì,smoothly,ʂwənli,True,TRVNRV,BDACBA,IFACCH,ODBKJL,FQLAJS
1005,顺序,shùn xù,sequence,ʂwənɕy,True,TRVNKV,BDACBD,IFACBF,ODBKOD,FQLAMK
1006,说明,shuō míng,to explain,ʂwɔmiŋ,True,TRVMVN,BDACAE,IFAGHE,ODIKLN,FQBISP
1007,硕士,shuò shì,master's degree,ʂwɔʂɨ,True,TRVTV,BDABA,IFAIH,ODIOL,FQBFS
1008,死,sǐ,to die,sɯ,True,TV,BA,IH,GB,FO
1009,速度,sù dù,speed,sutu,True,TVTV,BDBD,IFCF,GDGD,FKRK
1010,塑料袋,sù liào dài,plastic bag,suljɑʊtaɪ,True,TVRRVVTVV,BDBAADBAA,IFCHDHCDH,GDJLFBGFB,FKJCGORGL
1011,酸,suān,sour,swan,True,TRVN,BDAC,IFDC,GDFK,FQGA
1012,算,suàn,to regard as,swan,True,TRVN,BDAC,IFDC,GDFK,FQGA
1013,随便,suí biàn,as one wishes,sweɪpjɛn,True,TRVVPRVN,BDAACAAC,IFDHGHAC,GDMBCLMK,FQLLICLA
1014,随着,suí zhe,along with,sweɪʈʂɤ,True,TRVVTTV,BDAABBA,IFDHIID,GDMBGOI,FQLLRFB
1015,孙子,sūn zi,grandson,swəntsɯ,True,TRVNTTV,BDACBBA,IFACCIH,GDBKGGB,FQLARFO
1016,所有,suǒ yǒu,all,swɔyoʊ,True,TRVVVV,BDADDD,IFAFAH,GDIDIB,FQBKBO
1017,抬,tái,to lift,tʰaɪ,True,TVV,BFAA,CKDH,GPFB,RUGL
1018,台,tái,typhoon,tʰaɪ,True,TVV,BFAA,CKDH,GPFB,RUGL
1019,态度,tài du,manner,tʰaɪtu,True,TVVTV,BFAABD,CKDHCF,GPFBGD,RUGLRK
1020,谈,tán,to speak,tʰan,True,TVN,BFAC,CKDC,GPFK,RUGA
1021,弹,tán,to pluck (a string),tan,True,TVN,BAC,CDC,GFK,RGA
1022,汤,tāng,soup,tʰɑŋ,True,TVN,BFAE,CKDE,GPFN,RUGP
1023,躺,tǎng,to recline,tʰɑŋ,True,TVN,BFAE,CKDE,GPFN,RUGP
1024,趟,tàng,classifier for times,tʰɑŋ,True,TVN,BFAE,CKDE,GPFN,RUGP
1025,讨论,tǎo lùn,to discuss,tʰɑʊlwən,True,TVVRRVN,BFADBDAC,CKDHCFAC,GPFBJDBK,RUGOJQLA
1026,讨厌,tǎo yàn,to dislike,tʰɑʊjɛn,True,TVVRVN,BFADAAC,CKDHHAC,GPFBLMK,RUGOCLA
1027,特点,tè diǎn,characteristic (feature),tʰɤtjɛn,True,TVTRVN,BFABAAC,CKDCHAC,GPIGLMK,RUBRCLA
1028,提供,tí gōng,to offer,tʰikʊŋ,True,TVKVN,BFAEDE,CKHEHE,GPLEBN,RUSEOP
1029,提前,tí qián,to shift to an earlier date,tʰitɕʰjɛn,True,TVTKRVN,BFABBFAAC,CKHCBKHAC,GPLGOPLMK,RUSRMUCLA
1030,提醒,tí xǐng,to remind,tʰiɕiŋ,True,TVKVN,BFABAE,CKHBHE,GPLOLN,RUSMSP
1031,填空,tián kòng,to fill a job vacancy,tʰjɛnkʰʊŋ,True,TRVNKVN,BFAACEFDE,CKHACEKHE,GPLMKEPBN,RUCLAEUOP
1032,条件,tiáo jiàn,condition,tʰjɑʊtɕjɛn,True,TRVVTKRVN,BFAADBBAAC,CKHDHCBHAC,GPLFBGOLMK,RUCGORMCLA
1033,停止,tíng zhǐ,to stop,tʰiŋʈʂɨ,True,TVNTTV,BFAEBBA,CKHEIIH,GPLNGOL,RUSPRFS
1034,挺,tǐng,to stick out,tʰiŋ,True,TVN,BFAE,CKHE,GPLN,RUSP
1035,通过,tōng guò,by means of,tʰʊŋkwɔ,True,TVNKRV,BFDEEDA,CKHEEFA,GPBNEDI,RUOPEQB
1036,通知,tōng zhī,to notify,tʰʊŋʈʂɨ,True,TVNTTV,BFDEBBA,CKHEIIH,GPBNGOL,RUOPRFS
1037,同情,tóng qíng,to sympathize with,tʰʊŋtɕʰiŋ,True,TVNTKVN,BFDEBBFAE,CKHECBKHE,GPBNGOPLN,RUOPRMUSP
1038,推,tuī,to push,tʰweɪ,True,TRVV,BFDAA,CKFDH,GPDMB,RUQLL
1039,推迟,tuī chí,to postpone,tʰweɪʈʂʰɨ,True,TRVVTTV,BFDAABBFA,CKFDHIIKH,GPDMBGOPL,RUQLLRFUS
1040,脱,tuō,to shed,tʰwɔ,True,TRV,BFDA,CKFA,GPDI,RUQB
1041,袜子,wà zi,socks,watsɯ,True,RVTTV,DABBA,FDCIH,DFGGB,QGRFO
1042,完全,wán quán,complete,wantɕʰɥœn,True,RVNTKRVN,DACBBFDAC,FDCCBKFAC,DFKGOPDMK,QGARMUQLA
1043,往,wǎng,to go (in a direction),wɑŋ,True,RVN,DAE,FDE,DFN,QGP
1044,往往,wǎng wǎng,often,wɑŋwɑŋ,True,RVNRVN,DAEDAE,FDEFDE,DFNDFN,QGPQGP
1045,网球,wǎng qiú,tennis,wɑŋtɕʰjoʊ,True,RVNTKRVV,DAEBBFADD,FDECBKHAH,DFNGOPLIB,QGPRMUCBO
1046,网站,wǎng zhàn,website,wɑŋʈʂan,True,RVNTTVN,DAEBBAC,FDEIIDC,DFNGOFK,QGPRFGA
1047,危险,wēi xiǎn,danger,weɪɕjɛn,True,RVVKRVN,DAABAAC,FDHBHAC,DMBOLMK,QLLMCLA
1048,味道,wèi dao,flavor,weɪtɑʊ,True,RVVTVV,DAABAD,FDHCDH,DMBGFB,QLLRGO
1049,温度,wēn dù,temperature,wəntu,True,RVNTV,DACBD,FACCF,DBKGD,QLARK
1050,文章,wén zhāng,article,wənʈʂɑŋ,True,RVNTTVN,DACBBAE,FACIIDE,DBKGOFN,QLARFGP
1051,握手,wò shǒu,to shake hands,wɔʂoʊ,True,RVTVV,DABDD,FAIAH,DIOIB,QBFBO
1052,污染,wū rǎn,pollution,uʐan,True,VTVN,DBAC,FIDC,DAFK,KHGA
1053,无,wú,-less,u,True,V,D,F,D,K
1054,无聊,wú liáo,bored,uljɑʊ,True,VRRVV,DBAAD,FCHDH,DJLFB,KJCGO
1055,无论,wú lùn,no matter what or how,ulwən,True,VRRVN,DBDAC,FCFAC,DJDBK,KJQLA
1056,误会,wù huì,to misunderstand,uxweɪ,True,VKRVV,DEDAA,FEFDH,DEDMB,KEQLL
1057,西红柿,xī hóng shì,tomato,ɕixʊŋʂɨ,True,KVKVNTV,BAEDEBA,BHEHEIH,OLEBNOL,MSEOPFS
1058,吸引,xī yǐn,to attract (interest,ɕiin,True,KVVN,BAAC,BHHC,OLLK,MSSA
1059,洗衣机,xǐ yī jī,washer,ɕiitɕi,True,KVVTKV,BAABBA,BHHCBH,OLLGOL,MSSRMS
1060,咸,xián,salted,ɕjɛn,True,KRVN,BAAC,BHAC,OLMK,MCLA
1061,现代,xiàn dài,modern times,ɕjɛntaɪ,True,KRVNTVV,BAACBAA,BHACCDH,OLMKGFB,MCLARGL
1062,羡慕,xiàn mù,to envy,ɕjɛnmu,True,KRVNMV,BAACCD,BHACGF,OLMKKD,MCLAIK
1063,限制,xiàn zhì,to restrict,ɕjɛnʈʂɨ,True,KRVNTTV,BAACBBA,BHACIIH,OLMKGOL,MCLARFS
1064,香,xiāng,fragrant,ɕjɑŋ,True,KRVN,BAAE,BHDE,OLFN,MCGP
1065,相反,xiāng fǎn,opposite,ɕjɑŋfan,True,KRVNPVN,BAAECAC,BHDEGDC,OLFNCFK,MCGPNGA
1066,详细,xiáng xì,detailed,ɕjɑŋɕi,True,KRVNKV,BAAEBA,BHDEBH,OLFNOL,MCGPMS
1067,响,xiǎng,echo,ɕjɑŋ,True,KRVN,BAAE,BHDE,OLFN,MCGP
1068,消息,xiāo xi,news,ɕjɑʊɕi,True,KRVVKV,BAADBA,BHDHBH,OLFBOL,MCGOMS
1069,小说,xiǎo shuō,novel,ɕjɑʊʂwɔ,True,KRVVTRV,BAADBDA,BHDHIFA,OLFBODI,MCGOFQB
1070,笑话,xiào huà,joke,ɕjɑʊxwa,True,KRVVKRV,BAADEDA,BHDHEFD,OLFBEDF,MCGOEQG
1071,效果,xiào guǒ,result,ɕjɑʊkwɔ,True,KRVVKRV,BAADEDA,BHDHEFA,OLFBEDI,MCGOEQB
1072,心情,xīn qíng,mood,ɕintɕʰiŋ,True,KVNTKVN,BACBBFAE,BHCCBKHE,OLKGOPLN,MSARMUSP
1073,辛苦,xīn kǔ,hard,ɕinkʰu,True,KVNKV,BACEFD,BHCEKF,OLKEPD,MSAEUK
1074,信任,xìn rèn,to trust,ɕinʐən,True,KVNTVN,BACBAC,BHCIAC,OLKABK,MSAHLA
1075,信心,xìn xīn,confidence,ɕinɕin,True,KVNKVN,BACBAC,BHCBHC,OLKOLK,MSAMSA
1076,信用卡,xìn yòng kǎ,credit card,ɕinyʊŋkʰa,True,KVNVVNKV,BACDDEEFA,BHCFHEEKD,OLKDBNEPF,MSAKOPEUG
1077,兴奋,xīng fèn,excited,ɕiŋfən,True,KVNPVN,BAECAC,BHEGAC,OLNCBK,MSPNLA
1078,行,xíng,to walk,ɕiŋ,True,KVN,BAE,BHE,OLN,MSP
1079,醒,xǐng,to wake up,ɕiŋ,True,KVN,BAE,BHE,OLN,MSP
1080,性别,xìng bié,gender,ɕiŋpjɛ,True,KVNPRV,BAECAA,BHEGHA,OLNCLM,MSPICL
1081,性格,xìng gé,nature,ɕiŋkɤ,True,KVNKV,BAEEA,BHEED,OLNEI,MSPEB
1082,幸福,xìng fú,happiness,ɕiŋfu,True,KVNPV,BAECD,BHEGF,OLNCD,MSPNK
1083,修,xiū,to decorate,ɕjoʊ,True,KRVV,BADD,BHAH,OLIB,MCBO
1084,许多,xǔ duō,many,ɕytwɔ,True,KVTRV,BDBDA,BFCFA,ODGDI,MKRQB
1085,血,xuè,blood,ɕɥœ,True,KRV,BDA,BFA,ODM,MQL
1086,压力,yā lì,pressure,jali,True,RVRV,AABA,HDCH,LFJL,CGJS
1087,牙膏,yá gāo,toothpaste,jakɑʊ,True,RVKVV,AAEAD,HDEDH,LFEFB,CGEGO
1088,亚洲,Yà zhōu,Asia,jaʈʂoʊ,True,RVTTVV,AABBDD,HDIIAH,LFGOIB,CGRFBO
1089,呀,ya,(particle equivalent to 啊 after a vowel,ja,True,RV,AA,HD,LF,CG
1090,盐,yán,salt,jɛn,True,RVN,AAC,HAC,LMK,CLA
1091,严格,yán gé,strict,jɛnkɤ,True,RVNKV,AACEA,HACED,LMKEI,CLAEB
1092,严重,yán zhòng,grave,jɛnʈʂʊŋ,True,RVNTTVN,AACBBDE,HACIIHE,LMKGOBN,CLARFOP
1093,研究生,yán jiū shēng,graduate student,jɛntɕjoʊʂɤŋ,True,RVNTKRVVTVN,AACBBADDBAE,HACCBHAHIDE,LMKGOLIBOIN,CLARMCBOFBP
1094,演出,yǎn chū,to act (in a play),jɛnʈʂʰu,True,RVNTTV,AACBBFD,HACIIKF,LMKGOPD,CLARFUK
1095,演员,yǎn yuán,actor or actress,jɛnɥœn,True,RVNRVN,AACDAC,HACFAC,LMKDMK,CLAQLA
1096,阳光,yáng guāng,sunshine,jɑŋkwɑŋ,True,RVNKRVN,AAEEDAE,HDEEFDE,LFNEDFN,CGPEQGP
1097,养成,yǎng chéng,to cultivate,jɑŋʈʂʰɤŋ,True,RVNTTVN,AAEBBFAE,HDEIIKDE,LFNGOPIN,CGPRFUBP
1098,样子,yàng zi,appearance,jɑŋtsɯ,True,RVNTTV,AAEBBA,HDECIH,LFNGGB,CGPRFO
1099,邀请,yāo qǐng,to invite,jɑʊtɕʰiŋ,True,RVVTKVN,AADBBFAE,HDHCBKHE,LFBGOPLN,CGORMUSP
1100,钥匙,yào shi,key,jɑʊʂɨ,True,RVVTV,AADBA,HDHIH,LFBOL,CGOFS
1101,也许,yě xǔ,perhaps,jɛɕy,True,RVKV,AABD,HABF,LMOD,CLMK
1102,页,yè,page,jɛ,True,RV,AA,HA,LM,CL
1103,叶子,yè zi,foliage,jɛtsɯ,True,RVTTV,AABBA,HACIH,LMGGB,CLRFO
1104,一切,yī qiè,everything,itɕʰjɛ,True,VTKRV,ABBFAA,HCBKHA,LGOPLM,SRMUCL
1105,以,yǐ,to use,i,True,V,A,H,L,S
1106,亿,yì,100 million,i,True,V,A,H,L,S
1107,意见,yì jiàn,idea,itɕjɛn,True,VTKRVN,ABBAAC,HCBHAC,LGOLMK,SRMCLA
1108,艺术,yì shù,art,iʂu,True,VTV,ABD,HIF,LOD,SFK
1109,因此,yīn cǐ,thus,intsʰɯ,True,VNTTV,ACBBFA,HCCIKH,LKGGPB,SARFUO
1110,引起,yǐn qǐ,to give rise to,intɕʰi,True,VNTKV,ACBBFA,HCCBKH,LKGOPL,SARMUS
1111,饮料,yǐn liào,drink,inljɑʊ,True,VNRRVV,ACBAAD,HCCHDH,LKJLFB,SAJCGO
1112,印象,yìn xiàng,impression,inɕjɑŋ,True,VNKRVN,ACBAAE,HCBHDE,LKOLFN,SAMCGP
1113,赢,yíng,to beat,iŋ,True,VN,AE,HE,LN,SP
1114,硬,yìng,hard,iŋ,True,VN,AE,HE,LN,SP
1115,勇敢,yǒng gǎn,brave,yʊŋkan,True,VVNKVN,DDEEAC,FHEEDC,DBNEFK,KOPEGA
1116,永远,yǒng yuǎn,forever,yʊŋɥœn,True,VVNRVN,DDEDAC,FHEFAC,DBNDMK,KOPQLA
1117,优点,yōu diǎn,merit,yoʊtjɛn,True,VVVTRVN,DDDBAAC,FAHCHAC,DIBGLMK,KBORCLA
1118,优秀,yōu xiù,outstanding,yoʊɕjoʊ,True,VVVKRVV,DDDBADD,FAHBHAH,DIBOLIB,KBOMCBO
1119,幽默,yōu mò,(loanword) humor,yoʊmwɔ,True,VVVMRV,DDDCDA,FAHGFA,DIBKDI,KBOIQB
1120,由,yóu,to follow,yoʊ,True,VVV,DDD,FAH,DIB,KBO
1121,由于,yóu yú,due to,yoʊy,True,VVVV,DDDD,FAHF,DIBD,KBOK
1122,尤其,yóu qí,especially,yoʊtɕʰi,True,VVVTKV,DDDBBFA,FAHCBKH,DIBGOPL,KBORMUS
1123,有趣,yǒu qù,interesting,yoʊtɕʰy,True,VVVTKV,DDDBBFD,FAHCBKF,DIBGOPD,KBORMUK
1124,友好,yǒu hǎo,friendly,yoʊxɑʊ,True,VVVKVV,DDDEAD,FAHEDH,DIBEFB,KBOEGO
1125,友谊,yǒu yì,companionship,yoʊi,True,VVVV,DDDA,FAHH,DIBL,KBOS
1126,愉快,yú kuài,cheerful,ykʰwaɪ,True,VKRVV,DEFDAA,FEKFDH,DEPDFB,KEUQGL
1127,于是,yú shì,thereupon,yʂɨ,True,VTV,DBA,FIH,DOL,KFS
1128,与,yǔ,and,y,True,V,D,F,D,K
1129,语法,yǔ fǎ,grammar,yfa,True,VPV,DCA,FGD,DCF,KNG
1130,语言,yǔ yán,language,yjɛn,True,VRVN,DAAC,FHAC,DLMK,KCLA
1131,羽毛球,yǔ máo qiú,shuttlecock,ymɑʊtɕʰjoʊ,True,VMVVTKRVV,DCADBBFADD,FGDHCBKHAH,DKFBGOPLIB,KIGORMUCBO
1132,预习,yù xí,to prepare a lesson,yɕi,True,VKV,DBA,FBH,DOL,KMS
1133,圆,yuán,circle,ɥœn,True,RVN,DAC,FAC,DMK,QLA
1134,原来,yuán lái,original,ɥœnlaɪ,True,RVNRVV,DACBAA,FACCDH,DMKJFB,QLAJGL
1135,原谅,yuán liàng,to excuse,ɥœnljɑŋ,True,RVNRRVN,DACBAAE,FACCHDE,DMKJLFN,QLAJCGP
1136,原因,yuán yīn,cause,ɥœnin,True,RVNVN,DACAC,FACHC,DMKLK,QLASA
1137,约会,yuē huì,appointment,ɥœxweɪ,True,RVKRVV,DAEDAA,FAEFDH,DMEDMB,QLEQLL
1138,阅读,yuè dú,to read,ɥœtu,True,RVTV,DABD,FACF,DMGD,QLRK
1139,允许,yǔn xǔ,to permit,ynɕy,True,VNKV,DCBD,FCBF,DKOD,KAMK
1140,杂志,zá zhì,magazine,tsaʈʂɨ,True,TTVTTV,BBABBA,CIDIIH,GGFGOL,RFGRFS
1141,咱们,zán men,we or us (including both the speaker and the person(s) spoken to),tsamən,True,TTVMVN,BBACAC,CIDGAC,GGFKBK,RFGILA
1142,暂时,zàn shí,temporary,tsanʂɨ,True,TTVNTV,BBACBA,CIDCIH,GGFKOL,RFGAFS
1143,脏,zāng,dirty,tsɑŋ,True,TTVN,BBAE,CIDE,GGFN,RFGP
1144,责任,zé rèn,responsibility,tsɤʐən,True,TTVTVN,BBABAC,CIDIAC,GGIABK,RFBHLA
1145,增加,zēng jiā,to raise,tsɤŋtɕja,True,TTVNTKRV,BBAEBBAA,CIDECBHD,GGINGOLF,RFBPRMCG
1146,增长,zēng zhǎng,to grow,tsɤŋʈʂɑŋ,True,TTVNTTVN,BBAEBBAE,CIDEIIDE,GGINGOFN,RFBPRFGP
1147,窄,zhǎi,narrow,ʈʂaɪ,True,TTVV,BBAA,IIDH,GOFB,RFGL
1148,招聘,zhāo pìn,recruitment,ʈʂɑʊpʰin,True,TTVVPVN,BBADCFAC,IIDHGKHC,GOFBCPLK,RFGOIUSA
1149,真正,zhēn zhèng,genuine,ʈʂənʈʂɤŋ,True,TTVNTTVN,BBACBBAE,IIACIIDE,GOBKGOIN,RFLARFBP
1150,整理,zhěng lǐ,to arrange,ʈʂɤŋli,True,TTVNRV,BBAEBA,IIDECH,GOINJL,RFBPJS
1151,整齐,zhěng qí,orderly,ʈʂɤŋtɕʰi,True,TTVNTKV,BBAEBBFA,IIDECBKH,GOINGOPL,RFBPRMUS
1152,正常,zhèng cháng,regular,ʈʂɤŋʈʂʰɑŋ,True,TTVNTTVN,BBAEBBFAE,IIDEIIKDE,GOINGOPFN,RFBPRFUGP
1153,正好,zhèng hǎo,just (in time),ʈʂɤŋxɑʊ,True,TTVNKVV,BBAEEAD,IIDEEDH,GOINEFB,RFBPEGO
1154,正确,zhèng què,correct,ʈʂɤŋtɕʰɥœ,True,TTVNTKRV,BBAEBBFDA,IIDECBKFA,GOINGOPDM,RFBPRMUQL
1155,正式,zhèng shì,formal,ʈʂɤŋʂɨ,True,TTVNTV,BBAEBA,IIDEIH,GOINOL,RFBPFS
1156,证明,zhèng míng,proof,ʈʂɤŋmiŋ,True,TTVNMVN,BBAECAE,IIDEGHE,GOINKLN,RFBPISP
1157,之,zhī,(possessive particle,ʈʂɨ,True,TTV,BBA,IIH,GOL,RFS
1158,支持,zhī chí,to be in favor of,ʈʂɨʈʂʰɨ,True,TTVTTV,BBABBFA,IIHIIKH,GOLGOPL,RFSRFUS
1159,知识,zhī shi,intellectual,ʈʂɨʂɨ,True,TTVTV,BBABA,IIHIH,GOLOL,RFSFS
1160,直接,zhí jiē,direct,ʈʂɨtɕjɛ,True,TTVTKRV,BBABBAA,IIHCBHA,GOLGOLM,RFSRMCL
1161,值得,zhí de,to be worth,ʈʂɨtɤ,True,TTVTV,BBABA,IIHCD,GOLGI,RFSRB
1162,职业,zhí yè,occupation,ʈʂɨjɛ,True,TTVRV,BBAAA,IIHHA,GOLLM,RFSCL
1163,植物,zhí wù,botanical,ʈʂɨu,True,TTVV,BBAD,IIHF,GOLD,RFSK
1164,指,zhǐ,finger,ʈʂɨ,True,TTV,BBA,IIH,GOL,RFS
1165,只好,zhǐ hǎo,without any better option,ʈʂɨxɑʊ,True,TTVKVV,BBAEAD,IIHEDH,GOLEFB,RFSEGO
1166,只要,zhǐ yào,if only,ʈʂɨjɑʊ,True,TTVRVV,BBAAAD,IIHHDH,GOLLFB,RFSCGO
1167,制造,zhì zào,to manufacture,ʈʂɨtsɑʊ,True,TTVTTVV,BBABBAD,IIHCIDH,GOLGGFB,RFSRFGO
1168,至少,zhì shǎo,at least,ʈʂɨʂɑʊ,True,TTVTVV,BBABAD,IIHIDH,GOLOFB,RFSFGO
1169,质量,zhì liàng,quality,ʈʂɨljɑŋ,True,TTVRRVN,BBABAAE,IIHCHDE,GOLJLFN,RFSJCGP
1170,中文,Zhōng wén,Chinese,ʈʂʊŋwən,True,TTVNRVN,BBDEDAC,IIHEFAC,GOBNDBK,RFOPQLA
1171,重点,zhòng diǎn,important point,ʈʂʰʊŋtjɛn,True,TTVNTRVN,BBFDEBAAC,IIKHECHAC,GOPBNGLMK,RFUOPRCLA
1172,重视,zhòng shì,to attach importance to sth,ʈʂʊŋʂɨ,True,TTVNTV,BBDEBA,IIHEIH,GOBNOL,RFOPFS
1173,周围,zhōu wéi,surroundings,ʈʂoʊweɪ,True,TTVVRVV,BBDDDAA,IIAHFDH,GOIBDMB,RFBOQLL
1174,猪,zhū,hog,ʈʂu,True,TTV,BBD,IIF,GOD,RFK
1175,逐渐,zhú jiàn,gradually,ʈʂutɕjɛn,True,TTVTKRVN,BBDBBAAC,IIFCBHAC,GODGOLMK,RFKRMCLA
1176,主动,zhǔ dòng,to take the initiative,ʈʂutʊŋ,True,TTVTVN,BBDBDE,IIFCHE,GODGBN,RFKROP
1177,主意,zhǔ yi,plan,ʈʂui,True,TTVV,BBDA,IIFH,GODL,RFKS
1178,祝贺,zhù hè,to congratulate,ʈʂuxɤ,True,TTVKV,BBDEA,IIFED,GODEI,RFKEB
1179,著名,zhù míng,famous,ʈʂumiŋ,True,TTVMVN,BBDCAE,IIFGHE,GODKLN,RFKISP
1180,专门,zhuān mén,specialist,ʈʂwanmən,True,TTRVNMVN,BBDACCAC,IIFDCGAC,GODFKKBK,RFQGAILA
1181,专业,zhuān yè,specialty,ʈʂwanjɛ,True,TTRVNRV,BBDACAA,IIFDCHA,GODFKLM,RFQGACL
1182,赚,zhuàn,to earn,ʈʂwan,True,TTRVN,BBDAC,IIFDC,GODFK,RFQGA
1183,撞,zhuàng,to hit,ʈʂwɑŋ,True,TTRVN,BBDAE,IIFDE,GODFN,RFQGP
1184,准确,zhǔn què,accurate,ʈʂwəntɕʰɥœ,True,TTRVNTKRV,BBDACBBFDA,IIFACCBKFA,GODBKGOPDM,RFQLARMUQL
1185,准时,zhǔn shí,on time,ʈʂwənʂɨ,True,TTRVNTV,BBDACBA,IIFACIH,GODBKOL,RFQLAFS
1186,仔细,zǐ xì,careful,tsɯɕi,True,TTVKV,BBABA,CIHBH,GGBOL,RFOMS
1187,自然,zì rán,nature,tsɯʐan,True,TTVTVN,BBABAC,CIHIDC,GGBAFK,RFOHGA
1188,总结,zǒng jié,to sum up,tsʊŋtɕjɛ,True,TTVNTKRV,BBDEBBAA,CIHECBHA,GGBNGOLM,RFOPRMCL
1189,租,zū,to hire,tsu,True,TTV,BBD,CIF,GGD,RFK
1190,组成,zǔ chéng,to form,tsuʈʂʰɤŋ,True,TTVTTVN,BBDBBFAE,CIFIIKDE,GGDGOPIN,RFKRFUBP
1191,组织,zǔ zhī,to organize,tsuʈʂɨ,True,TTVTTV,BBDBBA,CIFIIH,GGDGOL,RFKRFS
1192,嘴,zuǐ,mouth,tsweɪ,True,TTRVV,BBDAA,CIFDH,GGDMB,RFQLL
